,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
1977,Google Operations Center,3.5,360,Internet,Hyderabad/Secunderabad +16 more,1k-5k Employees
1978,WAKEFIT INNOVATIONS,4.0,360,Furniture & Furnishing,Bangalore +29 more,1k-5k Employees
1979,Reliance Life Sciences,3.6,359,Clinical Research,Mumbai +28 more,1k-5k Employees
1980,Ryan,4.6,359,Accounting & Auditing,Dallas +3 more,501-1k Employees
1981,ICFAI University,3.8,359,Education & Training,Dehradun +57 more,1k-5k Employees
1982,Aptech,3.6,359,Education & Training,Mumbai +67 more,201-500 Employees
1983,SG Analytics,3.6,359,Analytics & KPO,Pune +6 more,1k-5k Employees
1984,Kokilaben Dhirubhai Ambani Hospital,3.9,358,Healthcare,Mumbai +16 more,1k-5k Employees
1985,BKT Tyres,3.9,358,Auto Components,Mumbai +25 more,1k-5k Employees
1986,Serum Institute of India,4.3,358,Biotechnology,Pune +16 more,1k-5k Employees
1987,Mavenir Systems,3.7,358,Software Product,Richardson +16 more,1k-5k Employees
1988,Yokohama,3.8,358,Auto Components,tokyo +31 more,1k-5k Employees
1989,Sapphire Foods India,4.0,358,Retail,Mumbai +51 more,5k-10k Employees
1990,Capital Foods,3.8,357,Food Processing,Mumbai +64 more,1k-5k Employees
1991,Zycus Infotech,3.5,357,Software Product,Princeton +6 more,1k-5k Employees
1992,Inspira Enterprise India,3.7,357,IT Services & Consulting,Mumbai +31 more,1k-5k Employees
1993,PC Jewellers,3.9,357,Metals & Mining,Delhi/NCR +68 more,1k-5k Employees
1994,Avery Dennison,3.9,357,Packaging,Glendale +29 more,1k-5k Employees
1995,Hero Cycles,3.4,356,Automobile,Gurgaon/Gurugram +38 more,5k-10k Employees
1996,Fortis Escorts Hospital,3.9,356,Healthcare,Delhi/NCR +15 more,5k-10k Employees
1997,Prime Focus Technologies,3.4,356,Software Product,Mumbai +15 more,201-500 Employees
1998,Fujiyama Power System,3.4,355,Power,Delhi/NCR +49 more,51-200 Employees
1999,Mahendra’s Institute,3.3,355,Education & Training,Lucknow +90 more,201-500 Employees
2000,Bhilosa Industries,3.8,355,Fashion & Textile,Mumbai +8 more,5k-10k Employees
2001,CSG International,4.2,355,Software Product,Englewood +7 more,1k-5k Employees
2002,Mars International India,4.2,355,Food Processing,McLean +67 more,1k-5k Employees
2003,Rashmi Group,3.5,354,Iron & Steel,Kolkata +18 more,10k-50k Employees
2004,Supertech,3.8,354,Real Estate,Noida +18 more,1k-5k Employees
2005,Andritz Hydro Location India,3.8,354,Industrial Machinery,Graz +18 more,1k-5k Employees
2006,Debtcare Enterprises,4.5,354,Investment Banking / Venture Capital / Private Equity,Hyderabad/Secunderabad +19 more,201-500 Employees
2007,Gainwell Commosales,4.1,354,Industrial Machinery,Kolkata +58 more,1k-5k Employees
2008,SNS College of Technology,4.9,354,Education & Training,Coimbatore +3 more,501-1k Employees
2009,SPAR Hypermarkets,4.2,354,Retail,Bangalore/Bengaluru +25 more,1k-5k Employees
2010,Healthians,3.3,354,Healthcare,Gurgaon +41 more,1k-5k Employees
2011,Sterling,3.9,353,Healthcare,Mumbai +46 more,5k-10k Employees
2012,Hexagon Nutrition,3.9,353,Food Processing,Mumbai +28 more,501-1k Employees
2013,VirtusaPolaris,3.7,353,IT Services & Consulting,Colombo +8 more,1k-5k Employees
2014,Toyoda Gosei Minda,4.2,353,Auto Components,Aichi +17 more,201-500 Employees
2015,Del Monte Foods,4.0,353,Food Processing,San Francisco +48 more,201-500 Employees
2016,PayU Payments,3.8,353,FinTech,Amsterdam +15 more,1k-5k Employees
2017,Pinnacle Infotech,3.5,353,IT Services & Consulting,Houston +15 more,1k-5k Employees
2018,Blackrock,4.0,352,Management Consulting,New York City +10 more,1k-5k Employees
2019,Iron Mountain Inc,4.0,352,IT Services & Consulting,Boston +36 more,1k-5k Employees
2020,National Bulk Handling Corporation,4.0,352,Agriculture,Pune +65 more,1k-5k Employees
2021,V.S.T Tillers Tractors,3.7,352,Industrial Machinery,Pune +42 more,201-500 Employees
2022,Varuna Integrated Logistics,3.8,352,Logistics,Pune +48 more,1k-5k Employees
2023,Koch Business Solutions,3.6,352,Oil & Gas,Pune +6 more,1k-5k Employees
2024,Surin Automotive,3.6,351,Auto Components,Pune +20 more,501-1k Employees
2025,Medica Superspecialty Hospital,3.5,351,Healthcare,Pune +18 more,1k-5k Employees
2026,CodeClouds,4.5,351,Software Product,Pune +8 more,201-500 Employees
2027,Amazon Sellers Services,4.2,351,Retail,Pune +47 more,11-50 Employees
2028,PropTiger.com,4.1,351,Internet,Pune +14 more,1k-5k Employees
2029,Amri Hospital,4.2,351,Healthcare,Kolkata +10 more,5k-10k Employees
2030,Vimta Labs,3.6,350,Other,Pune +23 more,1k-5k Employees
2031,Alpla,4.1,350,Packaging,Pune +16 more,501-1k Employees
2032,Electrosteel Casting,3.8,350,Building Material,Kolkata +18 more,1k-5k Employees
2033,Rieter,4.0,350,Industrial Machinery,Pune +33 more,501-1k Employees
2034,DFM Foods,3.9,350,FMCG,Pune +59 more,501-1k Employees
2035,Communications Test Design,3.6,350,IT Services & Consulting,Pune +33 more,1k-5k Employees
2036,Tractebel,4.1,349,Engineering & Construction,Gurgaon/Gurugram +63 more,501-1k Employees
2037,Dusters Total Solutions Services,4.0,349,Facility Management Services,Pune +46 more,10k-50k Employees
2038,Bharat Fritz Werner,3.9,349,Industrial Machinery,Pune +12 more,501-1k Employees
2039,Ramada,3.9,349,Hospitality,Pune +44 more,1k-5k Employees
2040,Honeywell International India,4.0,349,Defence & Aerospace,Charlotte +20 more,10k-50k Employees
2041,Kataria Automobiles,3.6,349,Automobile,Ahmedabad +20 more,201-500 Employees
2042,Kaya Skin Clinic,4.1,349,Beauty & Personal Care,Mumbai +34 more,501-1k Employees
2043,Senco Gold,4.1,348,Jewellery,Kolkata +56 more,1k-5k Employees
2044,Flamingo Pharmaceuticals,3.3,348,Pharma,Mumbai +10 more,501-1k Employees
2045,Srei Equipment Finance,4.4,348,Financial Services,Kolkata +75 more,1k-5k Employees
2046,Maharashtra Seamless,3.7,348,Building Material,Gurgaon/Gurugram +16 more,1k-5k Employees
2047,Krsnaa Diagnostics,4.1,347,Healthcare,Pune +57 more,1k-5k Employees
2048,Muthoottu Mini Financiers,3.6,347,NBFC,Ernakulam +71 more,1k-5k Employees
2049,Electronica Finance,3.7,347,NBFC,Pune +90 more,1k-5k Employees
2050,Systra Consulting,4.1,347,Engineering & Construction,Faridabad +31 more,1k-5k Employees
2051,Wissen Infotech,3.9,346,IT Services & Consulting,Hyderabad/Secunderabad +9 more,1k-5k Employees
2052,Wolters Kluwer,4.0,346,IT Services & Consulting,Alphen Aan Den Rijn +11 more,1k-5k Employees
2053,Nivea,4.3,345,Beauty & Personal Care,Hamburg +54 more,501-1k Employees
2054,Gupta Power Infrastructure,2.9,345,Power,Bhubaneswar +41 more,501-1k Employees
2055,RR,4.1,345,Chennai +11 more,Chennai +11 more,
2056,Lido Learning,2.2,345,EdTech,Mumbai +17 more,201-500 Employees
2057,DBG Technology,3.9,345,Electronics Manufacturing,Huizhou +11 more,1k-5k Employees
2058,MCM Telecom Equipment,4.0,345,Electronics Manufacturing,Noida +4 more,201-500 Employees
2059,IKEA,4.2,344,Retail,Delft +18 more,10k-50k Employees
2060,B. Braun Medical,3.9,344,Healthcare,Melsungen +40 more,501-1k Employees
2061,National Stock Exchange of India,3.5,344,Financial Services,Mumbai +33 more,1k-5k Employees
2062,RPG Life Sciences,4.2,344,Pharma,Mumbai +34 more,1k-5k Employees
2063,SABIC,4.1,343,Chemicals,Riyadh +17 more,1k-5k Employees
2064,GTL Infrastructure,4.4,343,Hardware & Networking,Mumbai +41 more,1k-5k Employees
2065,Matrix Business Services,3.4,343,Analytics & KPO,Chennai +22 more,1k-5k Employees
2066,ITI,3.8,343,Hardware & Networking,Bangalore/Bengaluru +69 more,1k-5k Employees
2067,Unimoni,3.8,343,FinTech,Abu Dhabi +92 more,1k-5k Employees
2068,Indofil Industries,4.1,343,Agro Chemicals,Mumbai +40 more,501-1k Employees
2069,Safari Industries India,4.1,343,Fashion & Textile,Mumbai +55 more,501-1k Employees
2070,Ssipl Lifestyle,3.7,343,Retail,Delhi/NCR +42 more,1k-5k Employees
2071,Schwing Stetter,4.1,343,Industrial Machinery,Chennai +39 more,1k-5k Employees
2072,Zolo,3.6,342,Internet,Bangalore +17 more,501-1k Employees
2073,Siyaram Silk Mills,3.9,342,Fashion & Textile,Mumbai +32 more,1k-5k Employees
2074,HealthifyMe,3.2,342,Fitness & Wellness,Bangalore/Bengaluru +10 more,1k-5k Employees
2075,Consero Global Solutions,3.3,342,Financial Services,Austin +6 more,1k-5k Employees
2076,Voyants Solutions,3.5,342,Engineering & Construction,Gurgaon +58 more,1k-5k Employees
2077,Allegis Group,3.7,342,Recruitment,Hanover +12 more,501-1k Employees
2078,Nash Industries,3.5,342,Industrial Machinery,Bangalore/Bengaluru +11 more,501-1k Employees
2079,Anmol Industries,4.2,342,Food Processing,Kolkata +57 more,501-1k Employees
2080,Wipro HR Services,3.3,342,Recruitment,Noida +11 more,Noida +11 more
2081,GS Lab,4.0,342,IT Services & Consulting,Pune +4 more,1k-5k Employees
2082,Pratham Education Foundation,4.2,342,Education & Training,Delhi/NCR +80 more,1k-5k Employees
2083,Plastic Omnium,3.8,341,Automobile,Levallois-Perret +18 more,201-500 Employees
2084,Subex,3.4,341,Emerging Technologies,Bangalore/Bengaluru +8 more,501-1k Employees
2085,DATAMARK BPO SERVICE (P) LTD,3.8,341,BPO,El Paso +8 more,1k-5k Employees
2086,Heavy Engineering Industries & Shipbuilding,4.0,341,Engineering & Construction,Kuwait City +22 more,51-200 Employees
2087,Honda Logistics,3.9,341,Logistics,Alwar +21 more,201-500 Employees
2088,Allianz Services,4.4,341,Insurance,Munich +7 more,1k-5k Employees
2089,ByteDance,4.3,340,Internet,Shanghai +12 more,1k-5k Employees
2090,Grindwell Norton,4.1,339,Industrial Machinery,Mumbai +32 more,1k-5k Employees
2091,2COMS,3.7,339,Recruitment,Kolkata +43 more,10k-50k Employees
2092,Outworks Solutions Pvt Ltd,4.2,339,IT Services & Consulting,San Jose +23 more,1k-5k Employees
2093,Royal Migration Solutions,5.0,339,Dubai +7 more,Dubai +7 more,
2094,Sanmina Sci,4.1,339,Electronics Manufacturing,Sanjose +10 more,1k-5k Employees
2095,Magic Bus India Foundation,3.7,339,Non-Profit,Mumbai +48 more,1k-5k Employees
2096,Gulf Oil Lubricants,4.1,339,Chemicals / Agri Inputs,Mumbai +64 more,501-1k Employees
2097,OLX Autos,3.8,339,Gurgaon/Gurugram +29 more,Gurgaon/Gurugram +29 more,
2098,Trident Hotels,4.0,338,Hospitality,New Delhi +21 more,1k-5k Employees
2099,Sandoz,4.0,338,Pharma,Holzkirchen +18 more,1k-5k Employees
2100,Vectus Industries,4.1,338,Petrochemicals,Noida +51 more,1k-5k Employees
2101,Netmeds.com,3.5,338,Internet,Chennai +73 more,501-1k Employees
2102,Reliance Jewels,4.1,338,Jewellery,Mumbai +91 more,201-500 Employees
2103,Jaypee Cement,4.2,338,Building Material,Solan +68 more,1k-5k Employees
2104,Labournet Services,4.0,338,Non-Profit,Bangalore +50 more,51-200 Employees
2105,Worldline Global Services,4.0,338,IT Services & Consulting,Bezons +25 more,1k-5k Employees
2106,Siemens Healthineers,4.0,337,Healthcare,Erlangen +13 more,1k-5k Employees
2107,Brainvire,4.1,337,IT Services & Consulting,Irving +7 more,201-500 Employees
2108,BYJU'S Exam Prep,3.9,337,EdTech,Noida +25 more,501-1k Employees
2109,Qcon,4.2,337,Engineering & Construction,Doha +23 more,5k-10k Employees
2110,Aptiv,3.8,337,Auto Components,Dublin +14 more,1k-5k Employees
2111,Maxop Engineering Co.,4.2,337,Auto Components,Delhi/NCR +9 more,501-1k Employees
2112,Agility,4.1,337,Logistics,Sulaibiya +37 more,1k-5k Employees
2113,Chemplast Sanmar,3.8,337,Chemicals,Chennai +15 more,501-1k Employees
2114,Mahindra Integrated Business Solutions,3.6,337,BPO,Mumbai +41 more,1k-5k Employees
2115,ITSource Technologies,3.0,336,IT Services & Consulting,Mumbai +27 more,201-500 Employees
2116,Infiniti Research,3.9,336,Analytics & KPO,London +5 more,501-1k Employees
2117,Penna Cement Industries,4.3,336,Building Material,Hyderabad/Secunderabad +41 more,1k-5k Employees
2118,Karvy Financial Services,3.7,336,Financial Services,Hyderabad/Secunderabad +44 more,51-200 Employees
2119,Vcare Trichology,4.0,336,Healthcare,Chennai +49 more,201-500 Employees
2120,Jtekt Sona Automotive India,4.1,336,Auto Components,Gurgaon/Gurugram +16 more,51-200 Employees
2121,NextComm Corporation,4.6,336,1k-5k Employees,Ahmedabad +8 more,7 years old
2122,Franchise India Brands,2.1,336,Marketing & Advertising,New Delhi +24 more,201-500 Employees
2123,Commonwealth Bank of Australia,3.6,335,Banking,Sydney +5 more,1k-5k Employees
2124,Triumphant Institute of Management Education,3.7,335,Education & Training,Hyderabad +68 more,1k-5k Employees
2125,Gionee,4.2,335,Consumer Electronics & Appliances,Shenzhen +99 more,501-1k Employees
2126,Mikuni,4.1,335,Auto Components,Sotokanda +13 more,201-500 Employees
2127,ABCI Infrastructures,3.5,335,Engineering & Construction,Kolkata +42 more,51-200 Employees
2128,L&T Heavy Engineering,4.3,335,Engineering & Construction,Hazira +15 more,1k-5k Employees
2129,Rusan Pharma,3.5,335,Pharma,Mumbai +17 more,501-1k Employees
2130,JBS Enterprises,3.4,334,Electronics Manufacturing,Mumbai +56 more,51-200 Employees
2131,Congruex Asia Pacific,3.3,334,Engineering & Construction,Boulder +14 more,1k-5k Employees
2132,Railtel Corporation Of India,3.9,334,Hardware & Networking,Gurgaon/Gurugram +62 more,1k-5k Employees
2133,Ingersoll Rand,4.2,334,Industrial Machinery,Dublin +27 more,501-1k Employees
2134,Paharpur Cooling Towers,4.0,334,Industrial Machinery,Kolkata +41 more,1k-5k Employees
2135,RadiSys,4.2,333,Hardware & Networking,Bangalore/Bengaluru +6 more,1k-5k Employees
2136,Evelyn Learning Systems,3.9,333,EdTech,Delhi/NCR +9 more,1k-5k Employees
2137,Mazagon Dock,4.3,333,1k-5k Employees,Mumbai +8 more,Fortune India 500
2138,NR Switch N Radio Services,3.7,333,Telecom,Kota +57 more,501-1k Employees
2139,Aker Solutions,4.0,333,Engineering & Construction,Fornebu +6 more,1k-5k Employees
2140,In Time Tec Visionsoft,4.3,333,Software Product,Meridian +5 more,501-1k Employees
2141,Texmaco Rail and Engineering,3.8,333,Engineering & Construction,Kolkata +39 more,1k-5k Employees
2142,Ben Franklin Opticians,4.3,333,Medical Equipment,Hyderabad/Secunderabad +96 more,201-500 Employees
2143,Keysight Technologies,3.9,333,Electronics Manufacturing,Santa Rosa +8 more,1k-5k Employees
2144,Red Hat,4.4,333,Software Product,Raleigh +10 more,1k-5k Employees
2145,Essar Group,3.9,332,Engineering & Construction,Mumbai +44 more,10k-50k Employees
2146,Metalman Auto,4.0,332,Auto Components,Gurgaon/Gurugram +18 more,1k-5k Employees
2147,QX Global Group,3.5,332,IT Services & Consulting,Skipton +12 more,1k-5k Employees
2148,Enco Engineers Combine,3.7,331,Auto Components,Gurgaon/Gurugram +12 more,51-200 Employees
2149,Samsung C&T,4.1,331,Engineering & Construction,Suwon-Si +21 more,501-1k Employees
2150,Aksentt Tech Services,4.8,331,IT Services & Consulting,Mumbai +12 more,201-500 Employees
2151,Alcon,3.5,330,Medical Equipment,Fort Worth +32 more,1k-5k Employees
2152,Hettich,3.8,330,Furniture & Furnishing,Kirchlengern +32 more,1k-5k Employees
2153,Ppap Automotive,3.8,330,Auto Components,Noida +11 more,1k-5k Employees
2154,Ofbusiness,2.8,330,Internet,Gurgaon +31 more,1k-5k Employees
2155,People Tech Group,3.1,330,IT Services & Consulting,Redmond +9 more,1k-5k Employees
2156,Eli Lilly and Company,4.2,330,Pharma,Indianapolis +18 more,1k-5k Employees
2157,Trianz,3.6,329,IT Services & Consulting,Santa Clara +3 more,1k-5k Employees
2158,Hafele,4.2,329,Furniture & Furnishing,Nagold +34 more,1k-5k Employees
2159,Khadims,3.7,329,Fashion & Textile,Kolkata +53 more,1k-5k Employees
2160,ITC Limited Foods Division,3.9,329,Food Processing,Kolkata +56 more,10k-50k Employees
2161,NU Vista,4.3,329,Building Material,Kolkata +61 more,1k-5k Employees
2162,Nowfloats Technologies,3.4,329,Software Product,Hyderabad +40 more,201-500 Employees
2163,Meghmani Organics,3.9,328,Chemicals,Ahmedabad +20 more,501-1k Employees
2164,GAVS Technologies,4.0,328,IT Services & Consulting,Princeton +12 more,1k-5k Employees
2165,Ascent Consulting Services,3.8,328,Software Product,Bengaluru +11 more,501-1k Employees
2166,RSB Transmissions,3.8,328,Industrial Machinery,Pune +17 more,1k-5k Employees
2167,Montecarlo Construction,4.1,328,Engineering & Construction,Ahmedabad +62 more,1k-5k Employees
2168,Ergode IT Services,3.5,328,IT Services & Consulting,Houston +6 more,501-1k Employees
2169,Ralson India,3.8,328,Auto Components,Delhi/NCR +40 more,501-1k Employees
2170,Morepen Laboratories,3.9,328,Pharma,Baddi +31 more,1k-5k Employees
2171,Powerweave,3.6,327,BPO,Mumbai +4 more,501-1k Employees
2172,Descon Engineering,3.9,327,Engineering & Construction,Lahore +20 more,201-500 Employees
2173,Markets and Markets,3.6,327,Analytics & KPO,Pune +10 more,501-1k Employees
2174,Orcapod Consulting Services,3.3,327,IT Services & Consulting,Mumbai +13 more,501-1k Employees
2175,Allcargo Logistics,4.0,327,Logistics,Mumbai +42 more,501-1k Employees
2176,Home First Finance Company India,4.0,327,Financial Services,Mumbai +70 more,501-1k Employees
2177,Tata Power Solar,4.2,327,Power,Mumbai +45 more,1k-5k Employees
2178,Writer Information Management Services,3.2,327,Facility Management Services,Mumbai +36 more,5k-10k Employees (Global)
2179,APL Apollo Tubes,3.7,327,Building Material,Delhi/NCR +37 more,1k-5k Employees
2180,APL Apollo Tubes,3.7,327,Building Material,Delhi/NCR +37 more,1k-5k Employees
2181,Home First Finance Company India,4.0,327,Financial Services,Mumbai +70 more,501-1k Employees
2182,Applied Materials,4.1,327,Semiconductors,Santa Clara +10 more,5k-10k Employees
2183,Ventura Securities,4.0,326,Financial Services,Thane +42 more,1k-5k Employees
2184,Telesonic Networks,3.8,326,Telecom,Delhi/NCR +44 more,5k-10k Employees
2185,Eurokids,4.0,326,Education & Training,Mumbai +60 more,10k-50k Employees
2186,Axa XL,3.6,326,Insurance,Hamilton +5 more,1k-5k Employees
2187,IIC Technologies,3.9,325,IT Services & Consulting,Hyderabad/Secunderabad +20 more,1k-5k Employees
2188,Galaxy Surfactants,3.9,325,Chemicals,Mumbai +12 more,1k-5k Employees
2189,Securitas,3.7,325,Law Enforcement & Security,Stockholm +32 more,10k-50k Employees
2190,Liberty General Insurance,3.7,325,Insurance,Mumbai +71 more,1k-5k Employees
2191,Nspira Management Services,3.8,325,BPO,Hyderabad/Secunderabad +36 more,1k-5k Employees
2192,Juniper Networks,4.1,325,Hardware & Networking,Sunnyvale +6 more,1k-5k Employees
2193,Keihin Fie,4.4,324,Auto Components,Pune +13 more,1k-5k Employees
2194,Indraprastha Gas,4.2,324,Oil & Gas,Mumbai +18 more,501-1k Employees
2195,Aquasub Engineering,3.7,324,Industrial Machinery,Bangalore/Bengaluru +10 more,5k-10k Employees
2196,Royal Orchid Hotels,4.1,324,Hospitality,Bangalore/Bengaluru +41 more,1k-5k Employees
2197,SunTec Web Services,3.4,324,IT Services & Consulting,New Delhi +5 more,1k-5k Employees
2198,Ind-Swift Laboratories,3.6,324,1k-5k Employees,Chandigarh +21 more,Public
2199,Legrand,3.7,324,Electrical Equipment,Limoges +44 more,1k-5k Employees
2200,Sleek International,3.8,324,Furniture & Furnishing,Mumbai +78 more,501-1k Employees
2201,Nissin Brake,4.1,324,Auto Components,Nagano +12 more,201-500 Employees
2202,Xdbs,3.3,324,Marketing & Advertising,Redwood City +3 more,1k-5k Employees
2203,Visaka Industries,4.1,324,Building Material,Hyderabad/Secunderabad +47 more,1k-5k Employees
2204,MAYORA,3.9,324,FMCG,Hyderabad +66 more,1k-5k Employees
2205,Par Pharmaceutical Companies,4.2,323,Pharma,Chestnut Ridge +8 more,201-500 Employees
2206,UCAL Fuel Systems,3.7,323,Auto Components,Chennai +17 more,501-1k Employees
2207,Munjal Showa,3.5,323,Auto Components,Gurgaon/Gurugram +13 more,1k-5k Employees
2208,Teleysia Networks,3.5,323,Telecom,Ahmedabad +31 more,201-500 Employees
2209,Rao IIT Academy,3.5,323,Education & Training,Mumbai +17 more,11-50 Employees
2210,Audi,4.1,323,Automobile,Ingolstadt +48 more,501-1k Employees
2211,DesignTech Systems,3.3,323,IT Services & Consulting,Pune +31 more,501-1k Employees
2212,Mrs Bector's Food Specialities,4.0,323,FMCG,Gurgaon +51 more,1k-5k Employees
2213,PureSoftware,3.3,323,IT Services & Consulting,Singapore +9 more,1k-5k Employees
2214,Publicis,3.7,323,Marketing & Advertising,Paris +15 more,5k-10k Employees
2215,Jumio,3.7,322,IT Services & Consulting,Palo Alto +8 more,201-500 Employees
2216,Zealous Services,3.4,322,Design,Chennai +5 more,501-1k Employees
2217,360 Realtors,3.7,322,Real Estate,Gurgaon/Gurugram +24 more,501-1k Employees
2218,CareerNet Consulting,3.7,322,Recruitment,Bangalore +12 more,1k-5k Employees
2219,Fenesta Building Systems,4.2,322,Building Material,Gurgaon/Gurugram +54 more,1k-5k Employees
2220,Havmor Ice Cream,4.1,322,Food Processing,Ahmedabad +54 more,1k-5k Employees
2221,Kunal Structure,3.7,322,Real Estate,Ahmedabad +24 more,201-500 Employees
2222,Numeric UPS,3.9,322,Consumer Electronics & Appliances,Chennai +65 more,1k-5k Employees
2223,Satyam Venture Engineering Services,4.1,322,Auto Components,Hyderabad/Secunderabad +14 more,1k-5k Employees
2224,Innominds Software,3.2,321,IT Services & Consulting,Hyderabad/Secunderabad +6 more,1k-5k Employees
2225,Kalyani Technoforge,4.0,321,1k-5k Employees,Pune +13 more,45 years old
2226,Toyota,4.3,321,Automobile,Toyota City +83 more,5k-10k Employees
2227,Aramex,3.9,321,Logistics,Dubai +49 more,1k-5k Employees
2228,SS Supply Chain Solutions,4.3,321,IT Services & Consulting,Gurgaon +34 more,201-500 Employees
2229,First Flight Couriers,4.1,321,Logistics,Mumbai +74 more,1k-5k Employees
2230,Lanco Infratech,4.4,321,Engineering & Construction,Gurgaon/Gurugram +29 more,5k-10k Employees
2231,Seoyon E-hwa Automotive,3.9,321,Auto Components,Seoul +17 more,51-200 Employees
2232,Great Learning,3.8,321,EdTech,Gurgaon +9 more,1k-5k Employees
2233,Scaler Academy,4.0,321,EdTech,Bangalore +5 more,1k-5k Employees
2234,Novac Technology Solutions,3.9,321,Software Product,Chennai +17 more,1k-5k Employees
2235,Jubilant Agri and Consumer Products,4.0,320,Chemicals,Gurgaon/Gurugram +64 more,501-1k Employees
2236,Insolutions Global,3.6,320,FinTech,Mumbai +18 more,1k-5k Employees
2237,Hema Engineering Industries,3.7,320,Auto Components,Gurgaon/Gurugram +22 more,501-1k Employees
2238,Omax Autos,3.8,320,Auto Components,Gurgaon/Gurugram +17 more,201-500 Employees
2239,Expertrons,4.0,320,Education & Training,Mumbai +8 more,201-500 Employees
2240,ASM Technologies,3.4,320,Engineering & Construction,Mumbai +17 more,1k-5k Employees
2241,Brembo Brake India,4.3,320,Auto Components,Pune +14 more,501-1k Employees
2242,Aloha Technology,3.3,319,IT Services & Consulting,Mumbai +11 more,501-1k Employees
2243,Alfanar,4.1,319,Electronics Manufacturing,Mumbai +29 more,201-500 Employees
2244,Soma Enterprises,4.2,319,Engineering & Construction,Mumbai +46 more,1k-5k Employees
2245,1 India Family Mart,3.8,319,Retail,New Delhi +58 more,201-500 Employees
2246,Uplers,4.2,319,Internet,Mumbai +11 more,501-1k Employees
2247,Kirloskar Ferrous Industries,4.1,319,Iron & Steel,Mumbai +14 more,1k-5k Employees
2248,Accion Labs,3.7,319,IT Services & Consulting,Mumbai +13 more,1k-5k Employees
2249,NCCCL,3.3,318,Engineering & Construction,Mumbai +24 more,1k-5k Employees
2250,Sany Heavy Industry,3.7,318,Industrial Machinery,Mumbai +44 more,1k-5k Employees
2251,Agro Tech Foods,4.2,318,FMCG,Mumbai +56 more,501-1k Employees
2252,Padget Electronics,3.8,318,Industrial Machinery,Noida +7 more,501-1k Employees
2253,Miles Education - CPA & CMA Review (Hyderabad),4.2,318,EdTech,Mumbai +13 more,501-1k Employees
2254,Balmer Lawrie,3.8,318,Packaging,Mumbai +29 more,501-1k Employees
2255,Vedanta Limited,4.0,318,Metals & Mining,Mumbai +38 more,10k-50k Employees
2256,Flowserve,4.0,318,Industrial Machinery,Bengaluru/Bangalore +13 more,1k-5k Employees
2257,Realty Assistant,4.2,318,Internet,Mumbai +12 more,201-500 Employees
2258,Alankit,2.9,318,Financial Services,Mumbai +37 more,1k-5k Employees
2259,Myk Laticrete,4.2,318,Building Material,Mumbai +55 more,1k-5k Employees
2260,Anthem Biosciences,4.0,317,Pharma,Bangalore/Bengaluru +10 more,1k-5k Employees
2261,Sheela Foam,4.2,317,Furniture & Furnishing,Delhi/NCR +76 more,1k-5k Employees
2262,TotalEnergies,3.9,317,Oil & Gas,Paris +57 more,1k-5k Employees
2263,The Park Hotels,4.1,317,Hospitality,Kolkata +19 more,1k-5k Employees
2264,Kolte Patil Developers,4.1,317,Real Estate,Pune +8 more,1k-5k Employees
2265,Teradata,4.1,317,Software Product,San Diego +8 more,1k-5k Employees
2266,L. N. Malviya Infra Projects Group,3.3,317,Engineering & Construction,Bhopal +88 more,1k-5k Employees
2267,Harman Finochem,3.3,317,Pharma,Mumbai +10 more,501-1k Employees
2268,Toshiba JSW Power Systems,4.3,317,Industrial Machinery,Chiyoda-ku +13 more,501-1k Employees
2269,Aster Dm Healthcare,3.7,317,Healthcare,Dubai +27 more,1k-5k Employees
2270,Tetra Pak,4.3,317,Packaging,Pully +13 more,1k-5k Employees
2271,Aurionpro Solutions,3.7,316,Software Product,Mumbai +32 more,1k-5k Employees
2272,ETA Engineering,3.4,316,Engineering & Construction,Chennai +23 more,501-1k Employees
2273,EID Parry (India),4.3,316,Food Processing,Chennai +27 more,1k-5k Employees
2274,HUDL,3.4,316,Software Product,Lincoln +12 more,1k-5k Employees
2275,Self Practice,4.3,316,Analytics & KPO,New Delhi +95 more,New Delhi +95 more
2276,PULSUS HealthTech Group,3.7,316,Printing & Publishing,London +6 more,501-1k Employees
2277,Oda Class,3.6,316,EdTech,Bengaluru/Bangalore +7 more,501-1k Employees
2278,ReSource Pro,4.2,316,Management Consulting,Bangalore/Bengaluru +4 more,501-1k Employees
2279,RedBus,4.3,316,Internet,Bangalore +15 more,1k-5k Employees
2280,Meyer Organics,3.6,316,Pharma,Thane +51 more,1k-5k Employees
2281,Kirloskar Toyota Textile Machinery,4.4,315,Industrial Machinery,Bangalore/Bengaluru +7 more,201-500 Employees
2282,ARMSOFTECH.AIR,3.6,315,IT Services & Consulting,Chennai +12 more,201-500 Employees
2283,Caparo Maruti,3.9,315,Auto Components,Gurgaon/Gurugram +15 more,501-1k Employees
2284,Rakuten,3.8,314,IT Services & Consulting,San Mateo +9 more,1k-5k Employees
2285,Indian Bank,3.4,314,Banking,Chennai +75 more,10k-50k Employees
2286,Competent Software,3.8,314,IT Services & Consulting,Delhi/NCR +8 more,1k-5k Employees (Global)
2287,Venkateshwara Hatcheries,3.8,314,Food Processing,Pune +43 more,201-500 Employees
2288,Kyungshin Industrial Motherson,3.2,314,Electrical Equipment,Chennai +11 more,201-500 Employees
2289,Writer Safe Guard,3.7,314,Law Enforcement & Security,Mumbai +75 more,5k-10k Employees
