,Name,Ratings,Reviews,Industry,HQ,Number_of_employees
5504,Springworks,4.5,131,Software Product,Bengaluru/Bangalore +5 more,201-500 Employees
5505,WovVTech,4.6,131,Software Product,Mumbai +7 more,51-200 Employees
5506,Radix Electrosystems,3.4,131,Electronics Manufacturing,Navi Mumbai +11 more,201-500 Employees
5507,Malayala Manorama,3.9,131,Printing & Publishing,Kottayam +19 more,1k-5k Employees
5508,Viztar International,3.4,130,Education & Training,Mumbai +18 more,501-1k Employees
5509,Armstrong International,4.0,130,Financial Services,Three Rivers +23 more,51-200 Employees
5510,BookMyShow,4.1,130,Internet,Mumbai +13 more,501-1k Employees
5511,VIS Networks,4.3,130,Telecom,Bangalore/Bengaluru +16 more,201-500 Employees
5512,Border Roads Organisation,4.0,130,Engineering & Construction,New Delhi +22 more,5k-10k Employees
5513,Roots Multiclean,3.8,130,Industrial Machinery,Coimbatore +21 more,1k-5k Employees
5514,VWR International,3.6,130,Pharma,Radnor +3 more,51-200 Employees
5515,Swal Corporation,4.0,130,Agro Chemicals,Mumbai +52 more,11-50 Employees
5516,Laxmi Remote India,3.5,130,Pharma,Noida +6 more,201-500 Employees
5517,Carnival Group,3.9,130,Media & Entertainment,Mumbai +35 more,51-200 Employees
5518,Sadhu Forging,3.6,130,Industrial Machinery,Faridabad +6 more,201-500 Employees
5519,Texas Instruments,4.2,130,Semiconductors,Dallas +6 more,1k-5k Employees
5520,Roots Multiclean,3.8,130,Industrial Machinery,Coimbatore +21 more,1k-5k Employees
5521,Border Roads Organisation,4.0,130,Engineering & Construction,New Delhi +22 more,5k-10k Employees
5522,Sadhu Forging,3.6,130,Industrial Machinery,Faridabad +6 more,201-500 Employees
5523,VWR International,3.6,130,Pharma,Radnor +3 more,51-200 Employees
5524,Armstrong International,4.0,130,Financial Services,Three Rivers +23 more,51-200 Employees
5525,Ghv India,4.2,130,Engineering & Construction,Mumbai +25 more,201-500 Employees
5526,Gapbridge Software Services,3.9,130,IT Services & Consulting,Bengaluru +21 more,51-200 Employees
5527,Kohler Power,4.2,130,Power,Pune +13 more,51-200 Employees
5528,Mahindra Teqo,4.1,130,Software Product,Mumbai +40 more,501-1k Employees
5529,Txd (india) Technology,4.1,130,51-200 Employees,Bawal +10 more,Bawal +10 more
5530,Brij Gopal Construction Company,3.8,130,Engineering & Construction,New Delhi +22 more,1k-5k Employees
5531,Reventics,4.2,130,Healthcare,Denver,201-500 Employees
5532,Premier Indoplast,3.8,130,51-200 Employees,Faridabad +13 more,45 years old
5533,House Of Diagnostics,3.9,130,Healthcare,Delhi/NCR +4 more,501-1k Employees
5534,The Oriental Insurance Co.,4.6,130,Insurance,Mumbai +55 more,10k-50k Employees
5535,Logicash,3.2,130,Financial Services,Navi Mumbai +28 more,1k-5k Employees (Global)
5536,Toyotetsu india auto parts,4.1,130,Auto Components,Aichi +6 more,501-1k Employees
5537,Calderys India Refractories,4.3,130,Metals & Mining,Paris +14 more,501-1k Employees
5538,Maharashtra State Electricity Transmission Company,4.2,130,Government,Mumbai +31 more,1k-5k Employees
5539,TVS Upasana Engineering,3.6,130,Automobile,Chennai +5 more,51-200 Employees
5540,Mahindra Teqo,4.1,130,Software Product,Mumbai +40 more,501-1k Employees
5541,Txd (india) Technology,4.1,130,51-200 Employees,Bawal +10 more,Bawal +10 more
5542,Propel Industries,4.0,130,Metals & Mining,Coimbatore +14 more,201-500 Employees
5543,Apollo Pipes,3.8,130,Building Material,Delhi/NCR +28 more,201-500 Employees
5544,Merit Software Services,3.7,130,EdTech,London +3 more,51-200 Employees
5545,Maharashtra State Electricity Transmission Company,4.2,130,Government,Mumbai +31 more,1k-5k Employees
5546,The Oriental Insurance Co.,4.6,130,Insurance,Mumbai +55 more,10k-50k Employees
5547,Toyotetsu india auto parts,4.1,130,Auto Components,Aichi +6 more,501-1k Employees
5548,Calderys India Refractories,4.3,130,Metals & Mining,Paris +14 more,501-1k Employees
5549,Ghv India,4.2,130,Engineering & Construction,Mumbai +25 more,201-500 Employees
5550,Premier Indoplast,3.8,130,51-200 Employees,Faridabad +13 more,45 years old
5551,Amanta Healthcare,4.2,130,Pharma,Ahmedabad +13 more,51-200 Employees
5552,Fleetx.io,3.5,130,Computer Software,Gurgaon +22 more,201-500 Employees
5553,Visible Alpha Solutions,3.6,129,Analytics & KPO,Mumbai +5 more,501-1k Employees
5554,Sula Vineyards,4.4,129,Food Processing,Nashik +14 more,501-1k Employees
5555,Manikaran Power,2.7,129,Power,Delhi/NCR +8 more,501-1k Employees
5556,NSK,3.9,129,Industrial Machinery,Tokyo +14 more,51-200 Employees
5557,Educational Initiatives,3.9,129,EdTech,Ahmedabad +23 more,201-500 Employees
5558,Sowparnika,3.3,129,Real Estate,Bangalore/Bengaluru +9 more,51-200 Employees
5559,Orient Paper Mill,3.5,129,Pulp & Paper,Kolkata +12 more,1k-5k Employees
5560,Goldmedal Electricals,3.8,129,Electrical Equipment,Mumbai +36 more,201-500 Employees
5561,DAEWOO E&C,4.5,129,Engineering & Construction,Seoul +13 more,5k-10k Employees (Global)
5562,GENWORKS Health,3.1,129,Healthcare,Bengaluru +26 more,201-500 Employees
5563,Indian Coast Guard,4.1,129,Defence & Aerospace,New Delhi +24 more,5k-10k Employees
5564,DelEx Cargo,4.2,129,Logistics,Mumbai +30 more,51-200 Employees
5565,Axalta Coating Systems,4.2,129,Chemicals,Philadelphia +17 more,51-200 Employees
5566,Vectone Mobile,2.8,129,Telecom,London +2 more,51-200 Employees
5567,Ford Motor Credit Company,4.0,129,Financial Services,Dearborn +13 more,10k-50k Employees
5568,Qube Cinema Technologies,4.1,129,Media & Entertainment,Chennai +8 more,501-1k Employees
5569,The Nuance Group AG,4.3,129,IT Services & Consulting,Zurich +9 more,1k-5k Employees
5570,TPF Engineering,3.9,129,Engineering & Construction,Navi Mumbai +27 more,201-500 Employees
5571,Ts Tech Sun India,4.4,129,Automobile,Noida +8 more,51-200 Employees
5572,Shankaranarayana Constructions,3.9,129,Engineering & Construction,Bangalore/Bengaluru +12 more,1k-5k Employees
5573,Crossword Bookstores,4.1,129,Retail,Mumbai +24 more,201-500 Employees
5574,Burman Hospitality,3.9,129,Hospitality,Delhi/NCR +18 more,201-500 Employees
5575,Texport Industries,3.8,129,Fashion & Textile,Mumbai +9 more,1k-5k Employees
5576,Kayjay Forging,4.2,129,Auto Components,Ludhiana +7 more,1k-5k Employees
5577,Desai Construction,4.3,129,Engineering & Construction,Mumbai +19 more,51-200 Employees
